Organization Name,Founded Year,Industries,Headquarters Location,Description,CB Rank (Company),Headerquarters Regions,Diversity Spotlight (US Only),Estimated Revenue Range,Operating Status,Exit Date,Closed Date,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Actively Hiring,Investor Type,Investment Stage,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top Five Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Monthly Visits,Average Visits (6 Months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Active Tech Count,Number of Apps,Download Last 30 Days,Total Product Active,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class,IT Spend,Most Recent Valuation Range,Date of Most Recent Valuation,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (Week),Number of Alumni,Number of Private Contacts,Number of Private Notes,Tags
Georgia Southern University,1906,,"Statesboro, Georgia, United States",Georgia Southern University is the state’s largest and most comprehensive center of higher education south of Atlanta.,,"East Coast, Southern US",,,Active,,,,www.georgiasouthern.edu,http://twitter.com/georgiasouthern,http://www.facebook.com/25545934041,http://www.linkedin.com/company/georgia-southern-university,admissions@georgiasouthern.edu,(912) 478-2586,341,,"With over 100 academic concentrations and a continually growing
enrollment, Georgia Southern University prides itself on being one of the
premiere research institutions in Georgia. The school is the largest in
southern Georgia, and in 2006, the Carnegie Foundation for the
Advancement of Teaching officially classified it as a research
university.
Georgia Southern’s extensive academics are divided throughout eight
colleges. It also offers online courses, most of which lead to graduate
and doctoral degrees. Business, education, nursing, and kinesiology are
some of the subjects included in the online school.
The university also has much to offer in terms of student life. The city
of Statesboro, which houses GSU, offers southern city charm with a
college-town feel. The Botanical Garden, Center for Wildlife Education,
and Lamar Q Ball, Jr. Raptor Center provide a natural haven to GSU
students. You can also check out exhibits at the Georgia Southern Museum
or the Betty Foy Sanders Department of Art, or catch a show at the
Performing Arts Center.
Financial aid at Georgia Southern is plentiful as well. Scholarships are
based primarily on merit, and some are awarded to students in particular
colleges. GSU also offers an out-of-state fee waiver, so students who
meet certain academic criteria can pay in-state tuition.",,,,,,11-50,,35,,,,1001-5000,1,,2022-06-28,"$25,000.0",Grant,,,,"$25,000.0",U.S. Environmental Protection Agency,1,1,,,,,,,,,Private,,,,,,,,,,"153,714",,-0.2,-0.4,7.2,3,"Engineering, Finance, Human Resources, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Sales","1,209","1,696,616","2,891,418.33",-66.64%,533,-40.84%,4.13,-27.18%,29.55%,43.66%,"71,932","44,412",161.38%,114,10,218,,1,0,Medical Or Veterinary Science; Hygiene,,,,,,,,,,,,,,108,,,
North Arkansas College,1974,,"Harrison, Arkansas, United States",North Arkansas College is a school in Harrison.,"147,484",Southern US,,,Active,,,,www.northark.edu/,http://twitter.com/NortharkTweets,http://www.facebook.com/117303185003902,,,298-101-2472,12,,"Located in Harrison, Arkansas, North Arkansas College offers associate’s
degrees and certificate programs to help students explore their interests
and skills. Students are able to take advantage of the quality facilities
while preparing for their next step in life.
North Arkansas College offers associate’s degrees in almost every
traditional concentration, and offers a long list of certificate programs
as well. Certificates can be earned within one year, and include
vocational training for locally in-demand jobs.
North Arkansas College offers a unique bachelor degree partnership
program that allows students to earn their bachelor’s degrees from either
Arkansas Tech University, John Brown University, or Franklin University.
After students complete the associate’s degrees with North Arkansas
College, they are able to choose specific programs with one of these
three universities to take courses on the North Arkansas College campus
and online to fulfill the requirement for a bachelor’s degree. This
program supports the growth of the community by allowing students to earn
a bachelor’s without leaving home.
Students at North Arkansas College are encouraged to take advantage of
the many student support services and student life activities to enrich
their college experience. North Arkansas College is committed to making
sure their students succeed.",,,,,,11-50,,,,,,,1,,2022-03-15,"$226,000.0",Grant,,,,"$226,000.0",State of Arkansas,1,1,,,,,,,,,Private,,,,,,,,,,"154,384",,-0.1,1.4,-0.1,3,"Finance, Human Resources, Information Technology, Management, Marketing, Operations, Pro Services",98,"79,958","31,358",137.86%,761,-68.5%,9.95,70.06%,48.24%,-21.45%,"615,243","-400,955",-39.46%,55,,,,0,1,,"Paper, cardboard and goods made from these materials",,,,,,,,,,,,,1,,,
Forsyth Technical Community College,1960,"Career Planning, Education, Higher Education","Winston Salem, North Carolina, United States","Forsyth Technical Community College offers technical education, training programs, and other related services for students.",,"East Coast, Southern US",,,Active,,,,www.forsythtech.edu/,http://twitter.com/ForsythTechCC,http://www.facebook.com/24903870441,http://www.linkedin.com/company/51969,gwhitaker@forsythtech.edu,336.723.0371,3,,"In order to serve its students’ diverse needs, Forsyth Technical
Community College (FTCC) aims to provide a breadth of academics. It has
certainly been successful in this measure, offering more than 190
programs of study in a vast range of fields. At FTCC, you can study
everything from broadcasting to nanotechnology. The school even offers an
associate’s degree program in Race Car Technology!
Students seeking to transfer to a four-year college can also find
academic support at FTCC. The college maintains enrollment agreements
with the University of North Carolina at Greenboro, Salem College,
Winston-Salem State University and more.
To apply for financial aid at Forsyth Technical Community College, you
should complete the FAFSA no later than June 1. FTCC also offers a number
of scholarships, many of which are based on merit. You need only fill out
a single scholarship application to be considered for these awards;
however, some programs also require an application essay.
As a community college, FTCC has an open admissions policy. Everyone is
welcome to enroll in classes, and most applicants will be accepted to
credit programs. Some programs, especially those in health care, have
more specific and rigorous admissions requirements.",,,,,,11-50,,,"Education, Professional Services",,,1001-5000,1,Seed,2013-06-07,"$500,000.0",Seed,"$500,000.0",Seed,"$500,000.0","$500,000.0",,,,,,,,,,,,Private,,,,,,,,,,"154,584",,-0.2,-0.1,-0.1,8,"Engineering, Finance, Human Resources, Information Technology, Management, Operations, Pro Services, Sales",258,"377,743","450,999.33",-23.16%,668,-3.61%,3.22,-11.96%,44.57%,-5.99%,"213,449","46,024",27.49%,76,,,,,,,,,,,,,,,,,,,,,,,
British College of Professional Management,2011,,"Kathmandu, Bagmati, Nepal",British College of Professional Management offers various management courses that have the most useful in the current job market.,,Asia-Pacific (APAC),,,Active,,,,www.thebritishcollege.edu.np/,https://twitter.com/TBritishcollege,https://www.facebook.com/TheBritishCollege,https://www.linkedin.com/company/the-british-college/,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,"154,817",,-0.1,-0.1,0.7,3,"Management, Operations",4,"4,887","7,186.5",-36.51%,179,-52.89%,2.15,32.02%,50%,-35.95%,"3,443,129","1,056,966",44.3%,66,2,,,,,,,,,,,,,,,,,,,1,,,
CQUniversity,1967,,"Rockhampton, Queensland, Australia",CQUniversity is an educational institution of higher learning with multiple locations throughout Australia.,,"Asia-Pacific (APAC), Australasia",,,Active,,,,www.cqu.edu.au,https://www.twitter.com/cquni,https://www.facebook.com/cquniversityaustralia,https://www.linkedin.com/company/cquniversity,,,18,,,,,,,,10001+,,24,,,,,1,,2021-11-29,"$60,282.2781",Grant,,,,"$60,282.2781",Australian Ethical Investment,1,1,,,,,,,,,Private,,,,,,,,,,"155,498",,0.0,-0.1,-0.8,2,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Operations, Pro Services, Sales",617,"1,085,363","1,007,689",-17.27%,550,-12.84%,3.49,1.44%,36.58%,8.26%,"100,010","19,035",23.51%,117,,,,12,6,Railways,Scientific and electric apparatus and instruments,,,,,,,,,,,,,42,,,
Purdue University Fort Wayne,1964,,"Fort Wayne, Indiana, United States","Indiana University - Purdue University, Fort Wayne is a school in Fort Wayne.","142,677","Great Lakes, Midwestern US",,,Active,,,,www.pfw.edu/,http://twitter.com/ipfw,http://www.facebook.com/110090775666,https://www.linkedin.com/company/ipfw,accessibility@ipfw.edu,260-481-6812,28,,"More than 250 degree programs, medical research and an engaging arts
community are some of the more exciting features of Indiana
University-Purdue University in Fort Wayne, Indiana (IPFW).
Indiana-Purdue is essentially the fusing of the two universities into the
Fort Wayne campus. As a large urban school, students have many choices of
what to study. Bachelor’s degrees are granted in diverse and high-profile
majors like:
 * Communications
 * Dental Assisting
 * Engineering
 * English Literature
 * Film
 * Occupational Therapy
 * Philosophy
 * Theatre
There are also more obscure majors, such as:
 * Ceramics
 * Folklore
 * Music Therapy
 * Peace and Conflict Studies
College life at IPFW includes opportunities for students to perform in
plays and music productions and exhibit artwork. There are also more than
100 student organizations.
There are different categories of admission. Standard undergraduate
admissions require that students have at least a 2.8 grade point average,
have scored at least 450 on each SAT section and be at least in the top
50% of their graduating class.
Adult admissions are for anyone who graduated from high school at least 2
years ago. Adult students must have graduated in the top half of their
class, have taken college prep classes and have a grade point average of
at least 2.9. Those with a GED must have a GED score of at least 580.
Financial aid includes merit scholarships, which are awarded to those
with an SAT of 1650 or above or an ACT score of at least 24 who are in
the top 24% of their graduating high school class.
State aid is also available. In order to be considered for state aid,
students must fill out a FAFSA by March 10th prior to entry in the fall.
Federal aid is also available, includes loans and Pell grants, and is
primarily need-based.",,,,,,11-50,,11,,,,5001-10000,1,,2019-03-01,"$40,000.0",Grant,,,,"$40,000.0",AWS Foundation,1,1,,,,,,,,,Private,,,,,,,,,,"154,840",,-0.2,-0.2,-0.2,5,"Engineering, Finance, Information Technology, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Sales",439,"690,286","509,076.17",70.12%,408,-5.99%,3.98,-15.02%,28.41%,1.21%,"139,147","-52,529",-27.41%,153,2,,,,,,,,,,,,,,,,,,,34,,,
Baystate Academy Charter Public School,,"Higher Education, Secondary Education","Springfield, Massachusetts, United States",Baystate Academy Charter Public School is honored to give Springfield students and their parents a choice in education.,,"East Coast, New England, Northeastern US",,,Active,,,,bacps.net/,https://twitter.com/BaystateAcadem1,https://www.facebook.com/pages/category/Public-School/Baystate-Academy-Charter-Public-School-810783782450488/,,,(413) 366-5100,,,Baystate Academy Charter Public School is honored to give Springfield students and their parents a choice in education.,,,,,,,,,Education,,,,1,,2017-03-16,"$110,000.0",Grant,,,,"$110,000.0",Massachusetts Life Sciences Center,1,1,,,,,,,,,Private,,,,,,,,,,"155,414",,-0.1,0.0,1.4,3,,,"29,754","9,586.83",465.45%,34,-66.18%,1.58,57.97%,78.92%,-21.08%,"1,163,993","-1,905,134",-62.07%,36,,,,,,,,,,,,,,,,,,,,,,,
John D. O'Bryant School of Mathematics and Science,1893,"Education, Higher Education","West Roxbury, Massachusetts, United States","John D. O'Bryant School of Mathematics and Science is a diverse, supportive community of learners.",,"Greater Boston Area, East Coast, New England",,,Active,,,,www.obryant.us/,,,,,(617) 635-9932,,,"John D. O'Bryant School of Mathematics and Science is a diverse, supportive community of learners that engages in a rigorous and comprehensive Science, Technology, Engineering, and Mathematics program integrated with Humanities.",,,,,,,,,Education,1,John D. O'Bryant,,2,,2017-06-22,"$160,000.0",Grant,,,,"$346,420.0","Massachusetts Life Sciences Center, Massachusetts Clean Energy Center",2,2,,,,,,,,,Private,,,,,,,,,,"155,588",,-0.1,0.1,0.2,5,Pro Services,1,"12,701","9,947",144.11%,116,-43.41%,3.72,-46.85%,0%,-7.54%,"1,898,051","-1,192,149",-38.58%,16,,,,,,,,,,,,,,,,,,,,,,,
Bay Path College,1897,,"Longmeadow, Massachusetts, United States",Bay Path College is a school in Longmeadow.,,"East Coast, New England, Northeastern US",,,Active,,,,www.baypath.edu/,http://twitter.com/Bay_Path,http://www.facebook.com/327652194837,,contact@baypath.edu,800.782.7284,13,,"Versatility is the key component of Bay Path College’s academics. The
college offers a traditional liberal arts undergraduate experience, as
well as graduate programs, “Saturday college” for working adults and
distance learning.
About 20 undergraduate programs and nearly a dozen graduate programs are
available. Additionally, Bay Path has a degree completion program as one
of its distance learning opportunities.
With more than 30 student organizations, college life at Bay Path offers
plenty to explore. The school also participates in NCAA Division III
athletics, and has many club sports and other fitness programs.
As a women’s college, Bay Path offers undergraduate admissions to female
applicants only. However, male students can apply for its graduate
programs. Admissions requirements vary depending on the program you apply
for, so check the college’s website for specific procedures.
Financial aid options may vary based on the program, as well. Generally
speaking, federal financial aid is the primary source for tuition
assistance, but Bay Path also funds a number of scholarships that can
provide up to $60,000 towards the education of eligible students.",,,,,,11-50,,1,,,,,1,,2019-02-21,"$1,600,000.0",Grant,,,,"$1,600,000.0",Strada Education Network,1,1,,,,,,,,,Private,,,,,,,,,,"156,218",,0.0,-0.2,-0.1,5,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Operations, Pro Services",183,"118,338","195,058.5",-17.54%,334,15.17%,3.49,41.43%,48.31%,-12.55%,"473,203","81,714",20.87%,108,,,,,,,,,,,,,,,,,,,,1,,,
Winthrop Rockefeller Institute,2005,,"Morrilton, Arkansas, United States",Winthrop Rockefeller Institute is a nonprofit organization creating transformational change.,,Southern US,,,Active,,,,rockefellerinstitute.org/,https://twitter.com/Rockefeller,https://www.facebook.com/Rockefeller.Institute,https://www.linkedin.com/company/rockefellerinstitute/,,,,,Winthrop Rockefeller Institute is a nonprofit organization creating transformational change.,,,,,,,,,,,,101-250,1,,2021-11-10,"$1,000,000.0",Grant,,,,"$1,000,000.0",Marion Burton,1,1,,,,,,,,,Private,,,,,,,,,,"155,619",,-0.1,-0.2,-0.4,5,"Finance, Management, Marketing, Operations",16,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang University,1897,,"Hangzhou, Zhejiang, China","Zhejiang University is an educational institution that promotes national prosperity, social development, and human progress.",,Asia-Pacific (APAC),,,Active,,,,www.zju.edu.cn/,https://twitter.com/ZJU_China,,,,,96,,,,,,,,10001+,,134,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,"155,805",,-0.1,0.1,3.4,5,"Engineering, Human Resources, Management, Operations, Pro Services, Sales",133,"1,567,653","1,091,904",90.74%,"1,147",-53.15%,6.49,-55.06%,28.59%,13.54%,"76,052","-39,232",-34.03%,85,10,55,,"1,455",0,Testing,,,,,6,6,2,,1,1,,,,257,,,
Westfield State University,1838,,"Westfield, Massachusetts, United States",Westfield State University is a school.,,"East Coast, New England, Northeastern US",,,Active,,,,westfield.ma.edu,http://twitter.com/westfieldstate,http://www.facebook.com/WestfieldStateUniversity,,admissions@westfield.ma.edu,(413) 572-5218,55,,"A top school in the Massachusetts State University System, Westfield State University in Westfield, Massachusetts is ideal for both commuter students and those who wish to live on campus. 
Westfield State offers a range of liberal arts and professional degree programs at the undergraduate and graduate levels. Art, Computer Information Science, Criminal Justice, English, Ethnic and Gender Studies, Music, Nursing, Social Work, Theatre and World Literature are just some examples. 
Westfield State, while educating many students from Western Massachusetts and nearby New England regions, has a large number of residential students.
However, Westfield State also honors the working adult student and his or her needs by offering courses part-time and evening schedules as well as courses through continuing education.
Student life at Westfield State offers much in the way of the arts and other activities. Westfield State is home to a student-run radio station and television station as well as student art galleries, a student jazz ensemble and a thriving theatre arts department. There are also intramural sports, a thriving Greek life and over 70 recreational, cultural and academic clubs to choose from.
Student services include an academic achievement center, career services, health services, a counseling center, and financial aid offerings for eligible students including scholarships, loans and grants.",,,,,,5001-10000,,11,,1,Horace Mann,,1,,2017-03-16,"$75,000.0",Grant,,,,"$75,000.0",Massachusetts Life Sciences Center,1,1,,,,,,,,,Private,,,,,,,,,,"155,881",,-0.2,-0.4,1.1,7,"Finance, Information Technology, Operations",64,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,44,,,
Jamia Millia Islamia,1920,,"New Delhi, Delhi, India",Jamia Millia Islamia is a school.,,Asia-Pacific (APAC),,,Active,,,,jmi.ac.in/,https://www.twitter.com/jmidelhi,https://www.facebook.com/jmiofficial,https://www.linkedin.com/school/15093696,,,179,,,,,,Public,Graduate University,10001+,Online and On Campus,33,,3,"Hakim Ajmal Khan, Mohammad Ali Jauhar, Zakir Hussain",,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,"156,068",,0.0,1.3,4.6,3,"Operations, Sales",13,"295,470","613,785.5",-54.06%,196,-1.51%,2.39,20.04%,41.14%,-45.63%,"253,312","115,291",83.53%,15,,,,,,,,,,,,,,,,,,,,48,,,
Tunxis Community College,1970,"Communities, Higher Education, Intellectual Property, Training","Farmington, Connecticut, United States",Tunxis Community College is a school in Farmington.,,"East Coast, New England, Northeastern US",,,Active,,,,www.tunxis.edu,http://twitter.com/tunxiscc,http://www.facebook.com/65402649466,,tx-asc@tunxis.edu,860.314.4700,7,,"In the Farmington, Connecticut area, Tunxis Community College has
academic, workforce training, and personal enrichment courses for
students with all sorts of different interests that can earn you an
associate’s degree or certificate.
Among the many majors to choose from are programs such as Allied Health,
Graphic Design, Visual Fine Arts, Business Office Technology, Computer
Information Systems, Criminal Justice, Drug and Alcohol Recovery
Counselor, Early Childhood Education, Engineering Science and Technology
Studies, and New Media Communication, as well as many more.
Counselors in the financial aid office can point you toward programs that
will help you earn loans, grants, scholarships, veteran’s benefits, and
more if you qualify. These financial aid options can help you pay for
tuition and other expenses.
Student life at TCC includes a student lounge, The Cyber Café, and the
Barnes-Franklin Gallery, which is filled with student, community, and
professional art.
Academic advising is available for any student who needs help. The career
center can help students find employment. Other student resources
includes child care, health care, media center, and student activities.",,,,,,11-50,,,"Community and Lifestyle, Education, Professional Services",1,Darryl Reome,,2,,2018-05-23,"$237,069.0",Grant,,,,"$237,069.0","National Science Foundation, Connecticut Innovations, University of Connecticut, CTNext",2,4,,,,,,,,,Private,,,,,,,,,,"156,144",,0.0,-0.1,-0.3,6,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Operations",121,"64,106","45,908",106.12%,369,54.39%,1.87,-27.24%,58.78%,35%,"712,408","-355,849",-33.31%,6,,,,,,,,,,,,,,,,,,,,1,,,
Michigan College Access Network (MCAN),2009,Education,"Lansing, Michigan, United States",Michigan College Access Network is to increase the percentage of Michigan residents with high-quality degrees or credentials to 60%.,"78,508","Great Lakes, Midwestern US",,,Active,,,,www.micollegeaccess.org/,https://twitter.com/MICollegeAccess,https://www.facebook.com/micollegeaccess,https://www.linkedin.com/company/michigan-college-access-network/,,(517) 316-1713,,,"MCAN works to increase college readiness, participation and completion rates in Michigan, particularly among low-income students, first-generation college-going students, and students of color.",,,,,,,,,Education,,,11-50,2,,2022-07-27,,Grant,,,,"$1,350,000.0","Kresge Foundation, Ally Charitable Foundation",2,2,,,,,,,,,Private,,,,,,,,,,"156,433",,-0.3,-0.4,-0.3,5,"Management, Operations, Pro Services",22,"3,436",,,25,,1.5,,50%,,"3,977,355",,,49,,,,,,,,,,,,,,,,,,,,,,,
The Juilliard School,1905,"Education, Music","London, England, United Kingdom","With a reputation for excellence, Juilliard is home to the finest.","168,377",,,,Active,,,,www.juilliard.edu/,https://www.twitter.com/juilliardschool,http://www.facebook.com/118422261568949,,finance@juilliard.edu,(212) 799-5000,51,,"With a reputation for excellence, Juilliard is home to the finest. Enroll over 800 performances each year with the stars of drama, dance, and music.",,University Program,Grant,Private,Graduate University,51-100,On Campus,11,"Education, Media and Entertainment, Music and Audio",1,Augustus D. Juilliard,101-250,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,1,"156,488",,0.7,0.8,6.0,3,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Pro Services, Product, Sales",335,"516,728","338,149.67",129.84%,749,52.86%,2.37,-15.56%,54.16%,-4.7%,"171,303","-117,839",-40.75%,73,3,,,,,,,,,,,,,,,,On-Site,,,19,,,
Indian Institute of Technology Delhi,1961,"Education, Information Technology, Telecommunications","Delhi, Delhi, India","The Indian Institute of Technology Delhi is a public research university located in Delhi, India.","144,332",Asia-Pacific (APAC),,,Active,,,,www.iitd.ac.in/,http://twitter.com/iitdelhi,http://www.facebook.com/iitd.delhi,http://www.linkedin.com/edu/indian-institute-of-technology-delhi-13497,bharti.coord@admin.iitd.ac.in,,269,,"Vision:
To contribute to India and the World through excellence in scientific and technical education and research; to serve as a valuable resource for industry and society; and remain a source of pride for all Indians.
Mission:
To generate new knowledge by engaging in cutting-edge research and to promote academic growth by offering state-of-the-art undergraduate, postgraduate and doctoral programmes.
To identify, based on an informed perception of Indian, regional and global needs, areas of specialization upon which the institute can concentrate.
To undertake collaborative projects which offer opportunities for long-term interaction with academia and industry.
To develop human potential to its fullest extent so that intellectually capable and imaginatively gifted leaders can emerge in a range of professions.
Values:
Academic integrity and accountability.
Respect and tolerance for the views of every individual.
Attention to issues of national relevance as well as of global concern.
Breadth of understanding, including knowledge of the human sciences.
Appreciation of intellectual excellence and creativity.
An unfettered spirit of exploration, rationality and enterprise.",,,,,,,,574,"Education, Hardware, Information Technology",1,Prof. Humayun Kabir,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,1,"158,043",,-0.2,-0.2,0.7,6,"Engineering, Management, Operations",18,"1,244,292","2,174,565.67",-50.69%,790,-4.36%,4.61,-1.32%,39.9%,18.12%,"90,367","41,767",85.94%,169,6,,,107,3,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,,,,,,,,,,800,,,
University of Pittsburgh - School of Engineering,1846,"Education, Training, Universities","Pittsburgh, Pennsylvania, United States","Swanson School of Engineering is the engineering school of the University of Pittsburgh in Pittsburgh, Pennsylvania","173,996","Great Lakes, Northeastern US",,,Active,,,,www.engineering.pitt.edu/,https://twitter.com/Pittengineering,https://www.facebook.com/pittengineering,https://www.linkedin.com/groups/1485067/profile,ril3@pitt.edu,412-624-8001,21,,"The University of Pittsburgh’s Swanson School of Engineering is one of the oldest engineering programs in the United States and is consistently ranked among the top 25 public engineering programs nationally. The Swanson School has excelled in basic and applied research during the past decade and is on the forefront of 21st century technology including sustainability, energy systems, bioengineering, micro- and nanosystems, computational modeling, and advanced materials development.",,,,,,1001-5000,,2,"Education, Other",1,John A. Swanson,,1,,2016-08-17,"$350,000.0",Grant,,,,"$350,000.0",,,,,,,,,,,,Private,,,,,,,,,,"158,589",,1.7,1.6,0.0,6,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,3,,,
Diman Regional Technical Institute,1959,,"Fall River, Massachusetts, United States",Diman Regional Technical Institute is a school in Fall River.,,"East Coast, New England, Northeastern US",,,Active,,,,www.dimanregional.org/,https://www.twitter.com/dimanbengals,https://www.facebook.com/dimanbengals,https://www.linkedin.com/school/diman-regional-vocational-technical-high-school/,alumni@dimanregional.org,508-672-2970,2,,"Providing highly personalized career training, professional work
opportunities and extracurricular involvement, Diman Regional Vocational
Technical High School in Fall River, Massachusetts, offers high school
students the chance to succeed.
Since Diman is a public high school, all students are given an academic
foundation, taking courses in English, Science, Social Studies and Math.
Students receive close attention from instructors in all of their
classes, whether getting vocational training in Auto Mechanics, Culinary
Arts, Dental Assisting, Graphic Communications or another field offered
at Diman.
Diman’s co-operative work program is another highlight of the school. In
the co-op program, students work at jobs in their field under the
supervision of faculty.
Diman also has a job-placement service for students who wish to move
directly from Diman into a career.
Extracurricular activities are multi-faceted. Recreational clubs such as
the chess, photography or theatre clubs provide an opportunity for
creative expression.
Other student organizations, such as the Honors Society or Skills USA
group, offer chances for students to advance academically and even
compete nationally in skills competitions, which may result in
scholarship awards.
For information on how to apply to Diman contact a school representative
or simply fill out an application online.",,,,,,51-100,,,,1,John Diman,101-250,2,,2017-06-22,"$160,000.0",Grant,,,,"$259,951.0","Massachusetts Life Sciences Center, Massachusetts Clean Energy Center",2,2,,,,,,,,,Private,,,,,,,,,,"158,940",,-0.1,-0.2,-0.1,5,"Management, Operations, Pro Services",59,"54,577","18,202.67","1,674.28%","1,338","9,457.14%",2.22,33.03%,66.07%,-0.9%,"792,029","-3,224,115",-80.28%,46,,,,,,,,,,,,,,,,,,,,,,,
Dhaka College,1841,,"Dhaka, Dhaka, Bangladesh",Dhaka College is a school in Dhaka.,,Asia-Pacific (APAC),,,Active,,,,www.dhakacollege.edu.bd,,https://www.facebook.com/softbd,,,,7,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,"159,094",,0.0,0.0,4.9,7,,,"7,346","9,351.67",214.07%,405,504.48%,1.81,33.1%,48.05%,-37.52%,"2,569,829","-1,956,565",-43.23%,27,,,,,,,,,,,,,,,,,,,,14,,,
College for Technical Education,,,"Lexington, Kentucky, United States",College for Technical Education is a school in Lexington.,,Southern US,,,Active,,,,www.cte.edu/,,http://www.facebook.com/151729744892219,,,(502) 564-4262,,,"The College of Technical Education (CTE) in Lexington, Kentucky offers
career training that focuses not only on the skills of the discipline,
but on the skills needed to secure jobs.
Programs at the College of Technical Education include certifications in
Medical Assisting, Cosmetology, Food Service and Early Childhood
Education.
Since most programs take a year or less to complete, the time spent in
school is short. For that reason it is also intense and focused.
Students in all of CTE’s programs learn through hands-on work in their
field. Not only that, but as soon as students begin their program at CTE
they are assigned employment consultants.
Consultants help them throughout the year with resume writing, mock
interviews, job-searching and obtaining part-time work in their field
while still in school.
Consultations for additional issues are also offered for students who
have never worked due to disability or other impediments.
Financial aid is available for eligible students. Instructions on how to
apply and on types of aid available may be obtained from a CTE financial
aid counselor.",,,,,,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,"159,840",,0.7,0.6,2.8,6,Operations,3,"8,835",,,10,,1.5,,66.9%,,"2,332,013",,,41,,,,,,,,,,,,,,,,,,,,,,,
"Hariri Institute, Boston University",2012,"College Recruiting, Higher Education, Universities","Boston, Massachusetts, United States",BU Hariri Institute for Computing is a Leveraging the Computational Perspective in a Data-Driven World for a Better Society.,"208,773","Greater Boston Area, East Coast, New England",,,Active,,,,www.bu.edu/hic/,https://twitter.com/BU_Computing,https://www.facebook.com/BUcomputing,,hicadmin@bu.edu,617-358-6691,,,"The Rafik B. Hariri Institute for Computing and Computational Science &amp; Engineering initiates, catalyzes, and propels collaborative, interdisciplinary research and training initiatives for a better society by promoting (a) discovery and innovations through the use of computational and data-driven approaches, and (b) advances in the science of computing inspired by challenges in arts and sciences, engineering, and management disciplines.",,,,,,,,,"Administrative Services, Education, Other",,,,1,,2014-04-25,"$3,000,000.0",Grant,,,,"$3,000,000.0",Massachusetts Technology Collaborative,,1,,,,,,,,,Private,,,,,,,,,,"159,911",,-0.1,2.7,-0.2,5,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,
